Pais,Año,Brecha,Desempleo,GP Social,Ganancias,Propiedad,PIB,S. Min. Real,IPC
Colombia,2021,4.47274595845441,13.432929,23.0712386107693,6.1398,1.6811,6173.667432,140.4,107.8506
Ecuador,1995,7.00583516254396,7.4346362,11.4351515021642,1.5914,0.1857,2112.203915,118.3,5.588596132
Ecuador,1996,6.43750400497178,5.41633173333333,12.0822857385278,1.4827,0.1768,2141.261295,129.8,6.952820698
Ecuador,1997,5.93133057657506,3.39802726666667,12.7294199748915,1.3315,0.1572,2348.051519,125.2,9.084421579
Ecuador,1998,5.47764641214614,1.3797228,13.3765542112553,1.5254,0.1426,2292.507685,116.2,12.36372805
Ecuador,1999,5.40359220271788,1.5316979,14.023688447619,0.5798,0.1328,1581.973091,103.7,18.82282938
Ecuador,2000,5.26580496577178,3.1277914,17.248635,1.4653,0.0953,1450.805924,100,36.91083781
Ecuador,2001,5.14060611876504,4.7238849,18.389008,2.4321,0.1559,1904.816784,111.5,50.81836167
Ecuador,2002,5.02634589087891,6.3199784,15.229732,2.3626,0.1885,2184.210748,112.5,57.16253497
Ecuador,2003,4.92165072571591,7.9160719,15.16188,2.3515,0.2502,2438.340751,119.3,61.69601324
Ecuador,2004,4.78716679889115,5.8876486,14.974687,2.4949,0.2309,2703.564272,122.2,63.38833556
Ecuador,2005,5.13127182913952,5.8742796,14.300251,2.9605,0.1704,3014.312636,125.9,64.76080316
Ecuador,2006,4.55878659194659,5.382785,14.308492,3.2099,0.1713,3340.831602,130,66.897733
Ecuador,2007,4.72180471140454,4.9984509,15.997097,3.423,0.1721,3579.041033,135.1,68.42089297
Ecuador,2008,4.54296861391331,5.9514456,21.203537,3.8472,0.1534,4260.432302,146.7,74.16828181
Ecuador,2009,4.2885111433753,6.4717475,23.493853,4.0474,0.2089,4240.692813,152,77.99538759
Ecuador,2010,4.24957194581099,5.0187122,22.940878,3.4145,0.2278,4640.241701,161.7,80.76675707
Ecuador,2011,4.15253071218337,4.2055172,23.131027,3.8545,0.2255,5202.666019,170.2,84.38069199
Ecuador,2012,4.20160049420468,4.1211472,24.156764,3.8116,0.2401,5678.449486,179.1,88.68556016
Ecuador,2013,4.06181014015089,4.1528625,26.521245,4.0807,0.265,6050.350378,190,91.09938225
Ecuador,2014,3.82780721444957,3.8003491,26.213928,4.1473,0.2564,6374.629089,196.1,94.36913965
Ecuador,2015,3.96742902970452,4.7727686,25.401889,4.814,0.3051,6130.587433,196.386,98.11242957
Ecuador,2016,3.83022233171335,5.2125299,24.155692,4.3887,0.6391,6079.083189,199.5866138,99.80807199
Ecuador,2017,3.85652373691747,4.6238092,23.364667,3.9637,0.3331,6246.420713,203.6580428,100.2243895
Ecuador,2018,3.94049973064291,3.6887308,22.362365,4.861,0.3574,6321.338999,210.0935801,100
Ecuador,2019,4.08298136245948,3.8413609,27.830215,4.3193,0.3177,6233.272543,213.8896176,100.2660125
Ecuador,2020,4.30949138488861,4.9043904,27.599624,4.5601,0.343,5645.197685,217.9,99.92623868
Ecuador,2021,3.93876682540238,4.1464638,28.2606416476192,4.192,0.3281,5965.145272,221.58,99.42667
Paraguay,1995,6.30540030011767,3.3693507,11.5918320606061,2.2457,0.3911,1967.992901,94.5,22.1714847
Paraguay,1996,6.38425514602314,4.32107655,11.7601435930736,2.19,0.3395,2075.720627,96.8,24.34993063
Paraguay,1997,6.45889884743094,5.2728024,11.9284551255411,1.9755,0.3507,2066.741951,101.5,26.04670655
Paraguay,1998,6.04401548368381,5.93327645,12.0967666580087,1.8737,0.3064,1879.101339,100,29.05573334
Paraguay,1999,5.66949250805793,6.5937505,12.2650781904762,2,0.2528,1755.563874,95.9,31.01235089
Paraguay,2000,5.44593020649306,6.33912165,17.437325,1.5497,0.2286,1727.400168,100,33.78954759
Paraguay,2001,5.23272961360097,6.0844928,15.137463,1.3151,0.2319,1634.43008,103.7,36.24969697
Paraguay,2002,5.31026631243964,9.3929626,14.700025,1.4214,0.0803,1368.709435,102.9,40.05581248
Paraguay,2003,4.81648240526749,6.8139041,12.699212,1.2626,0.1075,1445.242297,105.8,45.75364409
Paraguay,2004,4.2296206862604,6.5131543,12.177753,1.5307,0.224,1777.220151,102.4,47.73579203
Paraguay,2005,4.32919871190312,4.8246714,12.184033,1.4364,0.2929,1961.981724,104.4,50.97900003
